Number,99
Initials,[]
Gender,[]
Age,[]
Data type,Time,sPos (x),sPos (y), sPos(z),View Angle,jPos (x),jPos (z)
POSITION,14.571009,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.651572,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.728888,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.805603,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.882591,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,14.959184,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.036004,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.113533,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.190234,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.267549,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.344919,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.424424,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.501354,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.579496,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.667306,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.743871,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.820963,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.895372,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,15.975318,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.052510,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.130233,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.206717,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.284076,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.361219,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.439206,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.516368,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.593142,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.674997,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.760492,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.837514,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.916605,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,16.996278,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.073325,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.150384,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.227421,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.304373,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.383520,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.460239,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.537478,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.611488,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.691302,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.770789,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.857026,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,17.934127,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,18.011209,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,18.088162,30.838,2.196,40.932,304.265,0.000,-0.000
POSITION,18.162396,30.838,2.196,40.932,304.265,0.000,-0.000
