"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","exp_stage","small_amount","large_amount","later_delay","choice","exp_id","bonus"
"677","71","poldrack-single-stim","75","412619","0.0-75.0","sub-12_ses-02_2","","5384","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">24€</div><br><br><div class = delbox style = ""color:white"">139 jours</div></div>","89,71","4000","","20","24","139","smaller_sooner","",""
"1015","71","poldrack-single-stim","76","417199","0.0-76.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">58€</div><br><br><div class = delbox style = ""color:white"">72 jours</div></div>","89,71","4000","","20","58","72","smaller_sooner","",""
"871","71","poldrack-single-stim","77","423489","0.0-77.0","sub-12_ses-02_2","","6268","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">56€</div><br><br><div class = delbox style = ""color:white"">93 jours</div></div>","89,71","4000","","20","56","93","smaller_sooner","",""
"1168","89","poldrack-single-stim","78","429020","0.0-78.0","sub-12_ses-02_2","","5520","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">45€</div><br><br><div class = delbox style = ""color:white"">26 jours</div></div>","89,71","4000","","20","45","26","larger_later","",""
"899","71","poldrack-single-stim","79","433609","0.0-79.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">23€</div><br><br><div class = delbox style = ""color:white"">42 jours</div></div>","89,71","4000","","20","23","42","smaller_sooner","",""
"1191","89","poldrack-single-stim","80","438249","0.0-80.0","sub-12_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">50€</div><br><br><div class = delbox style = ""color:white"">41 jours</div></div>","89,71","4000","","20","50","41","larger_later","",""
"793","71","poldrack-single-stim","81","442889","0.0-81.0","sub-12_ses-02_2","","4636","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">25€</div><br><br><div class = delbox style = ""color:white"">176 jours</div></div>","89,71","4000","","20","25","176","smaller_sooner","",""
"1114","89","poldrack-single-stim","82","448019","0.0-82.0","sub-12_ses-02_2","","5112","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">54€</div><br><br><div class = delbox style = ""color:white"">22 jours</div></div>","89,71","4000","","20","54","22","larger_later","",""
"961","71","poldrack-single-stim","83","453339","0.0-83.0","sub-12_ses-02_2","","5316","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">29€</div><br><br><div class = delbox style = ""color:white"">44 jours</div></div>","89,71","4000","","20","29","44","smaller_sooner","",""
"875","71","poldrack-single-stim","84","457909","0.0-84.0","sub-12_ses-02_2","","4568","0","","<div class = dd-stim><div class = amtbox style = ""color:white"">24€</div><br><br><div class = delbox style = ""color:white"">89 jours</div></div>","89,71","4000","","20","24","89","smaller_sooner","",""
