"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","text","block_duration","timing_post_trial","trial_id","stimulus","possible_responses","stim_duration","correct","correct_response","feedback_duration","condition","stim_color","stim_word","trial_num","exp_stage","exp_id"
"519","82","poldrack-single-stim","105","1083470","0.0-11.0-77.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","77","test",""
"809","82","poldrack-single-stim","106","1085479","0.0-11.0-78.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","78","test",""
"397","82","poldrack-single-stim","107","1087490","0.0-11.0-79.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","79","test",""
"683","71","poldrack-single-stim","108","1089640","0.0-11.0-80.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","80","test",""
"627","89","poldrack-single-stim","109","1091660","0.0-11.0-81.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">BLEU</div></div>","89,71,82","1500","true","89","","incongruent","red","blue","81","test",""
"631","82","poldrack-single-stim","110","1093939","0.0-11.0-82.0","sub-11_sess-02_1","","2272","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">ROUGE</div></div>","89,71,82","1500","true","82","","incongruent","green","red","82","test",""
"584","71","poldrack-single-stim","111","1096079","0.0-11.0-83.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","83","test",""
"696","89","poldrack-single-stim","112","1098510","0.0-11.0-84.0","sub-11_sess-02_1","","2408","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","84","test",""
"839","89","poldrack-single-stim","113","1100529","0.0-11.0-85.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","85","test",""
"547","71","poldrack-single-stim","114","1102549","0.0-11.0-86.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">BLEU</div></div>","89,71,82","1500","true","71","","congruent","blue","blue","86","test",""
"620","71","poldrack-single-stim","115","1105369","0.0-11.0-87.0","sub-11_sess-02_1","","2816","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","87","test",""
"827","82","poldrack-single-stim","116","1107380","0.0-11.0-88.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">BLEU</div></div>","89,71,82","1500","true","82","","incongruent","green","blue","88","test",""
"788","89","poldrack-single-stim","117","1109399","0.0-11.0-89.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","89","test",""
"616","89","poldrack-single-stim","118","1111549","0.0-11.0-90.0","sub-11_sess-02_1","","2136","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","90","test",""
"530","89","poldrack-single-stim","119","1113568","0.0-11.0-91.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","91","test",""
"928","71","poldrack-single-stim","120","1115589","0.0-11.0-92.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#1F45FC"">VERT</div></div>","89,71,82","1500","true","71","","incongruent","blue","green","92","test",""
"638","89","poldrack-single-stim","121","1117600","0.0-11.0-93.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">ROUGE</div></div>","89,71,82","1500","true","89","","congruent","red","red","93","test",""
"643","89","poldrack-single-stim","122","1119611","0.0-11.0-94.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:red"">VERT</div></div>","89,71,82","1500","true","89","","incongruent","red","green","94","test",""
"625","82","poldrack-single-stim","123","1121619","0.0-11.0-95.0","sub-11_sess-02_1","","2000","0","stim","<div class = stroopbox><div class = stroop-stim style = ""color:#4FE829"">VERT</div></div>","89,71,82","1500","true","82","","congruent","green","green","95","test",""
"9189","32","poldrack-single-stim","124","1130809","0.0-12.0","sub-11_sess-02_1","","9189","0","end","<div class = centerbox><div class = center-text><i>Fin</i></div></div>","32","9189","","","","","","","","","stroop"
"1870","13","text","125","1132679","0.0-13.0","sub-11_sess-02_1","","","","","","","","","","","","","","","",""
